,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar,Hit Rate,N Days,Mean Turnover
Weekly n=21,-0.007428271984996959,0.03405633916900406,-0.21811716016023547,-0.21372461797145792,-0.0347562768178113,0.5011160714285714,3584.0,0.0833975615237877
Weekly n=10,-0.0159732362796432,0.03235041841208174,-0.493756713628092,-0.24230125282293058,-0.06592304453050499,0.49051339285714285,3584.0,0.175759553692783
Weekly n=5,-0.034100806523454485,0.03233841797835701,-1.054498291978197,-0.41328199581347524,-0.08251219958501423,0.47628348214285715,3584.0,0.3460266231683416
Smooth alpha=0.05,-0.03975951218223561,0.024087851178518676,-1.6506043601636322,-0.4512537564485465,-0.08810898882072604,0.4556361607142857,3584.0,0.3007003981130269
Smooth alpha=0.1,-0.052682062883903535,0.024269728168670443,-2.1706902738165113,-0.5473086669196987,-0.09625658438848195,0.4439174107142857,3584.0,0.40502067405760983
Smooth alpha=0.2,-0.07509336848570025,0.024266797036904368,-3.0944903182525505,-0.6746633851013915,-0.11130494131442287,0.41099330357142855,3584.0,0.5753929261479284
Smooth alpha=0.5,-0.12998844692867373,0.025439876097473307,-5.109633648789044,-0.8620093926380936,-0.15079701919587798,0.35072544642857145,3584.0,1.009861470459774
Band 0.0100,-0.20716786847430502,0.033202079039983144,-6.2396053037770915,-0.9631969850041017,-0.21508359317946038,0.32003348214285715,3584.0,1.6786250257941329
Band 0.0050,-0.2063865372368,0.032824625509688496,-6.287551922744194,-0.9626777828760121,-0.21438797166401577,0.318359375,3584.0,1.6918661489170315
Band 0.0025,-0.20851724036422814,0.032786946420761465,-6.3597639648500515,-0.9640765196601296,-0.2162870229820945,0.3178013392857143,3584.0,1.702674630191799
Daily main,-0.20870434489533696,0.03271581983833473,-6.379309640615757,-0.964199606535016,-0.21645346407612087,0.318359375,3584.0,1.7085238221028458
Band 0.0010,-0.20879317867091596,0.03271831453686342,-6.381538341031309,-0.9642560243495446,-0.216532926316702,0.3178013392857143,3584.0,1.7074570436356904
