,V1 abs mean exposure,V3 safe abs mean exposure
PC1,0.002079936224917702,0.001545206174654822
PC2,0.004573929281265292,0.0001920634742561949
PC3,0.004628496959225459,0.00013592838812695663
PC4,0.004647890065265342,0.00010464304267780742
PC5,0.004670167148219784,0.00010231715247830023
PC6,0.0046921705796415985,7.48807722448463e-05
PC7,0.004609037791272441,6.237572595707231e-05
PC8,0.004668797728209136,6.723828214803822e-05
PC9,0.0047130913125450575,5.586653632525327e-05
PC10,0.004972282637434854,5.305207523426824e-05
